mse_dwave,mse_pysa,mse_pcd
6.258103516529083,6.328806840100925,6.281708295777717
5.583884359684325,5.785687647837738,5.645208482743743
4.9985374612605336,5.291058395336578,5.0724907656772364
4.477669597731513,4.838723720619781,4.563038960257008
4.035836503550631,4.431966531043428,4.12690626292462
3.700132070686311,4.0629997208182544,3.7672850070088635
3.440381873478058,3.736497699101911,3.476527223012211
3.245028743297952,3.4544759684119635,3.2423949229419637
3.0882479192566357,3.2169845267074852,3.057025201906265
2.9608663888226636,3.0201699348589477,2.9064752246300696
2.8558805711447968,2.8657887243131097,2.7840470273966234
2.767346257596144,2.7388463913457506,2.6822468812704447
2.691005512438376,2.634909307083326,2.596114858896404
2.6255219303643687,2.550384003752325,2.5224809792107514
2.572359843794793,2.4792816566853726,2.458445862416298
2.526076870006631,2.4218260053616474,2.40232773173411
2.4840357693732877,2.3745443081775024,2.3538601912453485
2.4459746101980917,2.334021494115108,2.3103253697455295
2.4118171447454095,2.300838767339478,2.2713814355297495
2.381050316488895,2.2730944151162435,2.2364985283484877
2.353547137039589,2.250077984373056,2.2057812520155915
2.328091594768545,2.2310573919712335,2.1784776578831386
2.3049417758467463,2.2146486773982144,2.1528287020553667
2.284125739856703,2.1989724344884136,2.130447085573635
2.2655328361970644,2.1861033506536898,2.1118469847671264
2.2478251156104987,2.175733120039461,2.094790017368948
2.23212783317395,2.166325073974501,2.078682703459728
2.216319119087439,2.1597369941454856,2.0637582042961973
2.2008109797979523,2.1541765080194515,2.051998236506093
2.1879852206228647,2.149763700724297,2.041766792720159
2.1752869478185834,2.1448427306623272,2.031206451555531
2.1648769773081984,2.1414849105928706,2.0225179750862745
2.1538891771102104,2.1384545383154183,2.0149469403336666
2.1438815202453183,2.1360649070921367,2.007482164996379
2.134476774354322,2.134342693719643,2.0010863566811206
2.125349423077111,2.132590489736924,1.9951737194821697
2.1175890724831663,2.131537623846152,1.9891637748178734
2.1104147132131383,2.131421868378465,1.9842650212241417
2.1039538559127084,2.1308855741034267,1.9801220291217185
2.0974032551787487,2.130643441771649,1.9762874637402659
2.0913427474212836,2.1300490937162215,1.9747079833539454
2.0857020046921413,2.130139906638105,1.9730526313526018
2.0805836647209306,2.1303057104275087,1.971127654457904
2.0761777200089386,2.1309429157391087,1.9693416445195533
2.072260599943042,2.131385976535845,1.9681228136844606
2.06887972408469,2.132145954105497,1.9664432510556236
2.065595150980985,2.133068449208464,1.9654851290057196
2.062519468681566,2.1347562718523894,1.9653271124024478
2.059263286436603,2.1359007995019303,1.9646341920827708
2.0564079359743235,2.1370192742794014,1.9635835312369208
